KP,train,val,test
baseline,0.6781,0.3245,0.2983
body_kp0,0.3062,0.1582,0.1602
body_kp1,0.4667,0.2332,0.2199
body_kp2,0.4879,0.243,0.2331
body_kp3,0.4284,0.2243,0.2063
body_kp4,0.4336,0.2172,0.2082
body_kp5,0.472,0.2331,0.211
body_kp6,0.4614,0.2257,0.2081
body_kp7,0.2768,0.1523,0.1477
body_kp8,0.2088,0.1236,0.1088
body_kp9,0.215,0.1212,0.122
body_kp10,0.1889,0.1074,0.106
body_kp11,0.1555,0.0918,0.1133
body_kp12,0.1503,0.0928,0.107
body_kp13,0.3136,0.1808,0.1747
body_kp14,0.2079,0.1214,0.1177
body_kp15,0.1874,0.1164,0.1106
body_kp16,0.0893,0.0585,0.0581
body_kp17,0.1129,0.0838,0.0763
body_kp18,0.0387,0.0241,0.0301
body_kp19,0.1033,0.073,0.0701
body_kp20,0.0454,0.0301,0.0344
body_kp21,0.1117,0.0775,0.0726
body_kp22,0.0486,0.0312,0.0368
body_kp23,0.3505,0.1886,0.1773
body_kp24,0.3545,0.1858,0.1831
body_kp25,0.6781,0.3245,0.2983
body_kp26,0.6781,0.3245,0.2983
body_kp27,0.6781,0.3245,0.2983
body_kp28,0.6781,0.3245,0.2983
body_kp29,0.6781,0.3245,0.2983
body_kp30,0.6781,0.3245,0.2983
body_kp31,0.6781,0.3245,0.2983
body_kp32,0.6781,0.3245,0.2983
lh_kp33,0.4876,0.2511,0.2486
lh_kp34,0.0311,0.0242,0.0196
lh_kp35,0.0672,0.04,0.042
lh_kp36,0.0727,0.041,0.0477
lh_kp37,0.0226,0.0153,0.0185
lh_kp38,0.0179,0.0123,0.0134
lh_kp39,0.1427,0.083,0.0699
lh_kp40,0.0399,0.0248,0.0303
lh_kp41,0.0082,0.0067,0.0075
lh_kp42,0.4973,0.2472,0.2517
lh_kp43,0.107,0.0613,0.057
lh_kp44,0.1023,0.0628,0.066
lh_kp45,0.0173,0.0133,0.0152
lh_kp46,0.0303,0.0231,0.0196
lh_kp47,0.0886,0.0534,0.0469
lh_kp48,0.2081,0.1063,0.1137
lh_kp49,0.0408,0.0269,0.0329
lh_kp50,0.0121,0.0098,0.0104
lh_kp51,0.0207,0.0148,0.0116
lh_kp52,0.0837,0.0501,0.0583
lh_kp53,0.0107,0.0081,0.01
rh_kp54,0.1122,0.0616,0.0794
rh_kp55,0.0162,0.0098,0.0101
rh_kp56,0.0371,0.021,0.024
rh_kp57,0.0395,0.019,0.0209
rh_kp58,0.0182,0.0102,0.01
rh_kp59,0.0125,0.0079,0.008
rh_kp60,0.0651,0.0244,0.0264
rh_kp61,0.0176,0.007,0.0094
rh_kp62,0.006,0.0043,0.0042
rh_kp63,0.121,0.0672,0.0787
rh_kp64,0.0611,0.0242,0.027
rh_kp65,0.0551,0.0246,0.0282
rh_kp66,0.0129,0.0056,0.0081
rh_kp67,0.0158,0.0096,0.0113
rh_kp68,0.0436,0.0198,0.0183
rh_kp69,0.1047,0.0476,0.0513
rh_kp70,0.0273,0.0157,0.0173
rh_kp71,0.0075,0.0047,0.0058
rh_kp72,0.0135,0.0084,0.0089
rh_kp73,0.0318,0.0138,0.0166
rh_kp74,0.0093,0.0056,0.0072
